Agreement_id,Vendor_id,purchase_order_id,sales_date,item_nbr,store_nbr,process_date,seq_nbr,item_cost,Agreement_allowance_type,dept_nbr,quantity,canculated_amt,allowance_amount,bill_nbr,Bill_date,Store_Alloc_ind,Store_Alloc_date,Last_change_user_id,Last_change_timestamp
1001,501,100101001,2026-08-11,100101,111,2026-08-11,1,224.06,SC,27,19,4257.14,727.12,10011,2026-08-16,Y,2026-08-11,MOCKLOAD,2026-09-11 22:29:05
1001,501,100101002,2026-08-12,100101,120,2026-08-12,2,201.67,SC,16,24,4840.08,826.69,10011,2026-08-16,Y,2026-08-12,MOCKLOAD,2026-09-11 22:29:05
1001,501,100101003,2026-08-13,100101,113,2026-08-13,3,181.81,SC,14,92,16726.52,2856.89,10011,2026-08-16,Y,2026-08-13,MOCKLOAD,2026-09-11 22:29:05
1001,501,100101004,2026-08-14,100101,102,2026-08-14,4,411.45,SC,25,61,25098.45,4286.82,10011,2026-08-16,Y,2026-08-14,MOCKLOAD,2026-09-11 22:29:05
1001,501,100101005,2026-08-15,100101,101,2026-08-15,5,398.23,SC,20,78,31061.94,5305.38,10011,2026-08-16,Y,2026-08-15,MOCKLOAD,2026-09-11 22:29:05
1001,501,100101006,2026-08-16,100101,115,2026-08-16,6,84.18,SC,28,1,84.18,14.38,10011,2026-08-16,Y,2026-08-16,MOCKLOAD,2026-09-11 22:29:05
1001,501,100101007,2026-08-17,100101,101,2026-08-17,7,160.22,SC,26,55,8812.1,1505.11,10012,2026-08-22,Y,2026-08-17,MOCKLOAD,2026-09-11 22:29:05
1001,501,100101008,2026-08-18,100101,110,2026-08-18,8,408.03,SC,23,100,40803,6969.15,10012,2026-08-22,Y,2026-08-18,MOCKLOAD,2026-09-11 22:29:05
1001,501,100101009,2026-08-19,100101,117,2026-08-19,9,315.2,SC,28,84,26476.8,4522.24,10012,2026-08-22,Y,2026-08-19,MOCKLOAD,2026-09-11 22:29:05
1001,501,100101010,2026-08-20,100101,116,2026-08-20,10,473.58,SC,24,94,44516.52,7603.42,10012,2026-08-22,Y,2026-08-20,MOCKLOAD,2026-09-11 22:29:05
1001,501,100101011,2026-08-21,100101,120,2026-08-21,11,89.95,SC,21,67,6026.65,1029.35,10012,2026-08-22,Y,2026-08-21,MOCKLOAD,2026-09-11 22:29:05
1001,501,100101012,2026-08-22,100101,117,2026-08-22,12,261.7,SC,20,20,5234,893.97,10012,2026-08-22,Y,2026-08-22,MOCKLOAD,2026-09-11 22:29:05
1001,501,100101013,2026-08-23,100101,116,2026-08-23,13,489.31,SC,26,28,13700.68,2340.08,10013,2026-08-28,Y,2026-08-23,MOCKLOAD,2026-09-11 22:29:05
1001,501,100101014,2026-08-24,100101,118,2026-08-24,14,389.81,SC,27,56,21829.36,3728.45,10013,2026-08-28,Y,2026-08-24,MOCKLOAD,2026-09-11 22:29:05
