purchase_order_id,item_vendor,department,item_nbr,warehouse_nbr,receipt_date,receiving_seq_nbr,order_qty,received_qty,update_timestamp
100201001,502,14,100201,112,2026-08-11,1,38,38,2026-09-11 22:29:06
100201002,502,13,100201,110,2026-08-12,2,76,76,2026-09-11 22:29:06
100201003,502,16,100201,118,2026-08-13,3,16,16,2026-09-11 22:29:06
100201004,502,29,100201,103,2026-08-14,4,37,37,2026-09-11 22:29:06
100201005,502,24,100201,109,2026-08-15,5,64,64,2026-09-11 22:29:06
100201006,502,11,100201,117,2026-08-16,6,98,98,2026-09-11 22:29:06
100201007,502,15,100201,106,2026-08-17,7,1,1,2026-09-11 22:29:06
100201008,502,22,100201,103,2026-08-18,8,42,42,2026-09-11 22:29:06
100201009,502,22,100201,117,2026-08-19,9,33,33,2026-09-11 22:29:06
100201010,502,29,100201,113,2026-08-20,10,63,63,2026-09-11 22:29:06
100201011,502,29,100201,118,2026-08-21,11,94,94,2026-09-11 22:29:06
100201012,502,17,100201,116,2026-08-22,12,21,21,2026-09-11 22:29:06
100201013,502,21,100201,118,2026-08-23,13,95,95,2026-09-11 22:29:06
100201014,502,20,100201,103,2026-08-24,14,36,36,2026-09-11 22:29:06
100201015,502,19,100201,112,2026-08-25,15,14,14,2026-09-11 22:29:06
100201016,502,18,100201,107,2026-08-26,16,28,28,2026-09-11 22:29:06
100201017,502,22,100201,104,2026-08-27,17,83,83,2026-09-11 22:29:06
100201018,502,16,100201,103,2026-08-28,18,26,26,2026-09-11 22:29:06
100201019,502,25,100201,120,2026-08-29,19,20,20,2026-09-11 22:29:06
100201020,502,17,100201,110,2026-08-30,20,38,38,2026-09-11 22:29:06
100201021,502,23,100201,103,2026-08-31,21,33,33,2026-09-11 22:29:06
100201022,502,22,100201,108,2026-09-01,22,69,69,2026-09-11 22:29:06
100201023,502,28,100201,106,2026-09-02,23,9,9,2026-09-11 22:29:06
100201024,502,21,100201,101,2026-09-03,24,87,87,2026-09-11 22:29:06
100201025,502,10,100201,106,2026-09-04,25,19,19,2026-09-11 22:29:06
100201026,502,21,100201,103,2026-09-05,26,9,9,2026-09-11 22:29:06
100201027,502,26,100201,119,2026-09-06,27,25,25,2026-09-11 22:29:06
100201028,502,21,100201,113,2026-09-07,28,29,29,2026-09-11 22:29:06
100201029,502,16,100201,106,2026-09-08,29,15,15,2026-09-11 22:29:06
100201030,502,11,100201,101,2026-09-09,30,88,88,2026-09-11 22:29:06
100202001,502,16,100202,102,2026-08-11,1,45,45,2026-09-11 22:29:06
100202002,502,20,100202,107,2026-08-12,2,94,94,2026-09-11 22:29:06
100202003,502,20,100202,113,2026-08-13,3,36,36,2026-09-11 22:29:06
100202004,502,17,100202,117,2026-08-14,4,11,11,2026-09-11 22:29:06
100202005,502,14,100202,107,2026-08-15,5,7,7,2026-09-11 22:29:06
100202006,502,12,100202,115,2026-08-16,6,77,77,2026-09-11 22:29:06
100202007,502,25,100202,112,2026-08-17,7,45,45,2026-09-11 22:29:06
100202008,502,15,100202,112,2026-08-18,8,90,90,2026-09-11 22:29:06
100202009,502,21,100202,102,2026-08-19,9,10,10,2026-09-11 22:29:06
100202010,502,20,100202,111,2026-08-20,10,48,48,2026-09-11 22:29:06
100202011,502,18,100202,119,2026-08-21,11,93,93,2026-09-11 22:29:06
100202012,502,26,100202,107,2026-08-22,12,6,6,2026-09-11 22:29:06
100202013,502,24,100202,119,2026-08-23,13,77,77,2026-09-11 22:29:06
100202014,502,27,100202,107,2026-08-24,14,15,15,2026-09-11 22:29:06
100202015,502,25,100202,118,2026-08-25,15,52,52,2026-09-11 22:29:06
100202016,502,23,100202,114,2026-08-26,16,66,66,2026-09-11 22:29:06
100202017,502,15,100202,114,2026-08-27,17,53,53,2026-09-11 22:29:06
100202018,502,11,100202,112,2026-08-28,18,8,8,2026-09-11 22:29:06
100202019,502,16,100202,101,2026-08-29,19,33,33,2026-09-11 22:29:06
100202020,502,28,100202,114,2026-08-30,20,3,3,2026-09-11 22:29:06
100202021,502,29,100202,113,2026-08-31,21,24,24,2026-09-11 22:29:06
100202022,502,23,100202,118,2026-09-01,22,87,87,2026-09-11 22:29:06
100202023,502,24,100202,107,2026-09-02,23,89,89,2026-09-11 22:29:06
100202024,502,10,100202,112,2026-09-03,24,24,24,2026-09-11 22:29:06
100202025,502,19,100202,114,2026-09-04,25,45,45,2026-09-11 22:29:06
100202026,502,19,100202,115,2026-09-05,26,36,36,2026-09-11 22:29:06
100202027,502,19,100202,117,2026-09-06,27,70,70,2026-09-11 22:29:06
100202028,502,25,100202,102,2026-09-07,28,61,61,2026-09-11 22:29:06
100202029,502,16,100202,120,2026-09-08,29,100,100,2026-09-11 22:29:06
100202030,502,23,100202,115,2026-09-09,30,42,42,2026-09-11 22:29:06
100203001,502,27,100203,119,2026-08-11,1,27,27,2026-09-11 22:29:06
100203002,502,21,100203,116,2026-08-12,2,77,77,2026-09-11 22:29:06
100203003,502,19,100203,111,2026-08-13,3,64,64,2026-09-11 22:29:06
100203004,502,20,100203,114,2026-08-14,4,57,57,2026-09-11 22:29:06
100203005,502,21,100203,117,2026-08-15,5,84,84,2026-09-11 22:29:06
100203006,502,16,100203,116,2026-08-16,6,36,36,2026-09-11 22:29:06
100203007,502,11,100203,108,2026-08-17,7,24,24,2026-09-11 22:29:06
100203008,502,22,100203,113,2026-08-18,8,31,31,2026-09-11 22:29:06
100203009,502,13,100203,120,2026-08-19,9,48,48,2026-09-11 22:29:06
100203010,502,19,100203,110,2026-08-20,10,96,96,2026-09-11 22:29:06
100203011,502,25,100203,114,2026-08-21,11,64,64,2026-09-11 22:29:06
100203012,502,18,100203,114,2026-08-22,12,98,98,2026-09-11 22:29:06
100203013,502,28,100203,107,2026-08-23,13,72,72,2026-09-11 22:29:06
100203014,502,15,100203,118,2026-08-24,14,6,6,2026-09-11 22:29:06
100203015,502,11,100203,107,2026-08-25,15,35,35,2026-09-11 22:29:06
100203016,502,16,100203,106,2026-08-26,16,65,65,2026-09-11 22:29:06
100203017,502,28,100203,118,2026-08-27,17,44,44,2026-09-11 22:29:06
100203018,502,25,100203,109,2026-08-28,18,82,82,2026-09-11 22:29:06
100203019,502,23,100203,113,2026-08-29,19,89,89,2026-09-11 22:29:06
100203020,502,12,100203,109,2026-08-30,20,76,76,2026-09-11 22:29:06
100203021,502,26,100203,115,2026-08-31,21,13,13,2026-09-11 22:29:06
100203022,502,10,100203,110,2026-09-01,22,59,59,2026-09-11 22:29:06
100203023,502,17,100203,109,2026-09-02,23,6,6,2026-09-11 22:29:06
100203024,502,13,100203,106,2026-09-03,24,90,90,2026-09-11 22:29:06
100203025,502,15,100203,111,2026-09-04,25,92,92,2026-09-11 22:29:06
100203026,502,17,100203,118,2026-09-05,26,61,61,2026-09-11 22:29:06
100203027,502,18,100203,103,2026-09-06,27,33,33,2026-09-11 22:29:06
100203028,502,15,100203,120,2026-09-07,28,20,20,2026-09-11 22:29:06
100203029,502,27,100203,113,2026-09-08,29,19,19,2026-09-11 22:29:06
100203030,502,23,100203,105,2026-09-09,30,52,52,2026-09-11 22:29:06
100204001,502,24,100204,119,2026-08-11,1,12,12,2026-09-11 22:29:06
100204002,502,29,100204,120,2026-08-12,2,69,69,2026-09-11 22:29:06
100204003,502,12,100204,120,2026-08-13,3,29,29,2026-09-11 22:29:06
100204004,502,20,100204,104,2026-08-14,4,33,33,2026-09-11 22:29:06
100204005,502,15,100204,112,2026-08-15,5,15,15,2026-09-11 22:29:06
100204006,502,21,100204,105,2026-08-16,6,5,5,2026-09-11 22:29:06
100204007,502,24,100204,115,2026-08-17,7,100,100,2026-09-11 22:29:06
100204008,502,21,100204,113,2026-08-18,8,59,59,2026-09-11 22:29:06
100204009,502,12,100204,116,2026-08-19,9,55,55,2026-09-11 22:29:06
100204010,502,11,100204,115,2026-08-20,10,62,62,2026-09-11 22:29:06
100204011,502,26,100204,119,2026-08-21,11,42,42,2026-09-11 22:29:06
100204012,502,29,100204,120,2026-08-22,12,81,81,2026-09-11 22:29:06
100204013,502,18,100204,115,2026-08-23,13,42,42,2026-09-11 22:29:06
100204014,502,12,100204,112,2026-08-24,14,42,42,2026-09-11 22:29:06
100204015,502,16,100204,114,2026-08-25,15,56,56,2026-09-11 22:29:06
100204016,502,29,100204,101,2026-08-26,16,62,62,2026-09-11 22:29:06
100204017,502,16,100204,102,2026-08-27,17,67,67,2026-09-11 22:29:06
100204018,502,21,100204,106,2026-08-28,18,48,48,2026-09-11 22:29:06
100204019,502,11,100204,110,2026-08-29,19,79,79,2026-09-11 22:29:06
100204020,502,24,100204,103,2026-08-30,20,21,21,2026-09-11 22:29:06
100204021,502,28,100204,104,2026-08-31,21,88,88,2026-09-11 22:29:06
100204022,502,27,100204,101,2026-09-01,22,65,65,2026-09-11 22:29:06
100204023,502,11,100204,117,2026-09-02,23,21,21,2026-09-11 22:29:06
100204024,502,15,100204,110,2026-09-03,24,57,57,2026-09-11 22:29:06
100204025,502,14,100204,102,2026-09-04,25,34,34,2026-09-11 22:29:06
100204026,502,14,100204,116,2026-09-05,26,45,45,2026-09-11 22:29:06
100204027,502,17,100204,119,2026-09-06,27,84,84,2026-09-11 22:29:06
