SAP_Bill_nbr,SAP_Bill_document_nbr,SAP_Bill_date,Transaction_Date,sequence_nbr,SAP_Bill_amount,SAP_Bill_credit_amt,SAP_Bill_debit_amt,SAP_Bill_customer_account,SAP_Bill_company_amount,Transaction_Timestamp
10011,c2627978195c426181cd,2026-08-16,2026-08-16,1,158995.21,158995.21,158995.21,192325,258103,2026-09-11 22:29:05
10012,fbd3a8f6c55e4a8899db,2026-08-22,2026-08-22,1,124039.23,124039.23,124039.23,162231,279724,2026-09-11 22:29:05
10013,6f3b4d4152994d1fa35f,2026-08-28,2026-08-28,1,133361.88,133361.88,133361.88,117786,262587,2026-09-11 22:29:05
10014,c66b6831f05d488d87e2,2026-09-03,2026-09-03,1,127092.18,127092.18,127092.18,133228,251549,2026-09-11 22:29:05
10015,ca3d6c8d19b545f49246,2026-09-09,2026-09-09,1,139197.83,139197.83,139197.83,129464,262825,2026-09-11 22:29:05
10021,83e4e38f34cc46b6a9a6,2026-08-16,2026-08-16,1,48830.04,48830.04,48830.04,107023,240645,2026-09-11 22:29:05
10022,6e51a1fb13494bd8b053,2026-08-22,2026-08-22,1,55353.88,55353.88,55353.88,107345,234537,2026-09-11 22:29:05
10023,e98c4137afb44bd89f81,2026-08-28,2026-08-28,1,52936.77,52936.77,52936.77,165676,220540,2026-09-11 22:29:05
10024,024d2cea883f4269a56f,2026-09-03,2026-09-03,1,52791.81,52791.81,52791.81,114455,271358,2026-09-11 22:29:05
10025,c71b0083dd054561a320,2026-09-09,2026-09-09,1,43354.34,43354.34,43354.34,117116,207048,2026-09-11 22:29:05
10031,d3e1d9ce7bd74009a931,2026-08-16,2026-08-16,1,81620.79,81620.79,81620.79,166088,275221,2026-09-11 22:29:05
10032,8a0a468ad9ea4a3a9e79,2026-08-22,2026-08-22,1,54886.03,54886.03,54886.03,171068,285343,2026-09-11 22:29:05
10033,91d8bc82ed5f4a6090ff,2026-08-28,2026-08-28,1,64866.61,64866.61,64866.61,187704,202244,2026-09-11 22:29:05
10034,64971ce504cf428ca6f7,2026-09-03,2026-09-03,1,67945.93,67945.93,67945.93,158008,270616,2026-09-11 22:29:05
10035,d5765a918b3d4d75b86a,2026-09-09,2026-09-09,1,58709.05,58709.05,58709.05,167817,221380,2026-09-11 22:29:05
10041,c1b436b193be4fb18d52,2026-08-16,2026-08-16,1,95510.32,95510.32,95510.32,103092,281283,2026-09-11 22:29:05
10042,a43782026899487bb2a3,2026-08-22,2026-08-22,1,110830.53,110830.53,110830.53,121695,242926,2026-09-11 22:29:05
10043,1ca37ae2a6c24558aa08,2026-08-28,2026-08-28,1,104076.67,104076.67,104076.67,115625,260401,2026-09-11 22:29:05
10044,b95eae0f60ab44de8f40,2026-09-03,2026-09-03,1,93592.56,93592.56,93592.56,164286,262234,2026-09-11 22:29:05
10045,ea57be0d7e7b4ea4987e,2026-09-09,2026-09-09,1,105055.26,105055.26,105055.26,113836,241435,2026-09-11 22:29:05
10051,275c470bd07b4349838d,2026-08-16,2026-08-16,1,65162.16,65162.16,65162.16,119198,297456,2026-09-11 22:29:05
10052,5ce77c89e57f42999c0c,2026-08-22,2026-08-22,1,78426.88,78426.88,78426.88,112621,284344,2026-09-11 22:29:05
10053,4e47a2ea446846ecaee0,2026-08-28,2026-08-28,1,77628.1,77628.1,77628.1,105290,236792,2026-09-11 22:29:05
10054,437ff1ba3f6a4a5d8713,2026-09-03,2026-09-03,1,60929.82,60929.82,60929.82,161757,291621,2026-09-11 22:29:05
10055,6d30636ad4df4237b96b,2026-09-09,2026-09-09,1,67092.41,67092.41,67092.41,190888,253172,2026-09-11 22:29:05
10061,d1eb6af2171c427ab314,2026-08-16,2026-08-16,1,109168.46,109168.46,109168.46,142598,294414,2026-09-11 22:29:05
10062,798d4fc945304ef69e25,2026-08-22,2026-08-22,1,103573.48,103573.48,103573.48,181252,222014,2026-09-11 22:29:05
10063,15c438d6dfe04932a6d9,2026-08-28,2026-08-28,1,78193.28,78193.28,78193.28,165542,271174,2026-09-11 22:29:05
10064,86875182c966423bb996,2026-09-03,2026-09-03,1,98459.96,98459.96,98459.96,179111,238761,2026-09-11 22:29:05
10065,70f9d736d293403ca94f,2026-09-09,2026-09-09,1,82969.15,82969.15,82969.15,199989,241257,2026-09-11 22:29:05
10071,09a807fbaa3d44d6a1ba,2026-08-16,2026-08-16,1,72821.84,72821.84,72821.84,126738,233573,2026-09-11 22:29:05
10072,fb91263336e14117840a,2026-08-22,2026-08-22,1,93469.97,93469.97,93469.97,103019,202342,2026-09-11 22:29:05
10073,f570467bee4e462fa413,2026-08-28,2026-08-28,1,69374.25,69374.25,69374.25,185676,218147,2026-09-11 22:29:05
10074,3bc0bf0b07be4b78b205,2026-09-03,2026-09-03,1,93234.99,93234.99,93234.99,113822,280832,2026-09-11 22:29:05
10075,5fbfcd5424ee4bee8a88,2026-09-09,2026-09-09,1,80083.35,80083.35,80083.35,170285,205573,2026-09-11 22:29:05
10081,a38a8f42950545f699bf,2026-08-16,2026-08-16,1,119200.88,119200.88,119200.88,134337,221511,2026-09-11 22:29:05
10082,492cf28279c946a6b69c,2026-08-22,2026-08-22,1,120881.02,120881.02,120881.02,151134,260266,2026-09-11 22:29:05
10083,e90ffe2a491642ba984b,2026-08-28,2026-08-28,1,145023.55,145023.55,145023.55,162873,214419,2026-09-11 22:29:05
10084,b10ca0080dc34745a295,2026-09-03,2026-09-03,1,108920.54,108920.54,108920.54,115741,299796,2026-09-11 22:29:06
10085,2ac2185f99c444ea82b7,2026-09-09,2026-09-09,1,138317.09,138317.09,138317.09,165193,262895,2026-09-11 22:29:06
10091,ef9e659e1dc14a6b9a93,2026-08-16,2026-08-16,1,165295.26,165295.26,165295.26,163020,258418,2026-09-11 22:29:06
10092,6af36d32bcba411cbfff,2026-08-22,2026-08-22,1,147613.98,147613.98,147613.98,160502,293096,2026-09-11 22:29:06
10093,dda0c4dd27a643e5947b,2026-08-28,2026-08-28,1,144232.45,144232.45,144232.45,135282,233638,2026-09-11 22:29:06
10094,512d84933aeb4ebda030,2026-09-03,2026-09-03,1,224479.96,224479.96,224479.96,114077,227379,2026-09-11 22:29:06
10095,f89857e94b9b4faba37c,2026-09-09,2026-09-09,1,200348.14,200348.14,200348.14,167656,200742,2026-09-11 22:29:06
10101,621066207f1e4698835e,2026-08-16,2026-08-16,1,107779.15,107779.15,107779.15,188540,242578,2026-09-11 22:29:06
10102,e8bee0476f2743418d50,2026-08-22,2026-08-22,1,120819.27,120819.27,120819.27,113334,242709,2026-09-11 22:29:06
10103,980bf47aebe24e2ea72f,2026-08-28,2026-08-28,1,102395.49,102395.49,102395.49,168579,233538,2026-09-11 22:29:06
10104,e4f4958595be46959840,2026-09-03,2026-09-03,1,109346.79,109346.79,109346.79,149844,244047,2026-09-11 22:29:06
10105,e7eb273c2f4b40e7b0cd,2026-09-09,2026-09-09,1,127546.09,127546.09,127546.09,108742,203063,2026-09-11 22:29:06
