SAP_Journal_document_nbr,SAP_Journal_credit_store,SAP_Journal_debit_store,SAP_journal_date,Transaction_Date,SAP_Journal_amount,SAP_Journal_credit_amt,SAP_Journal_debit_amt,SAP_journal_credit_account,SAP_journal_debit_amount,Transaction_Timestamp
2782d419184741b4959d,111,501,2026-08-11,2026-08-11,727.12,727.12,727.12,,,2026-09-11 22:29:06
9df1999a5d6343a2b0bb,120,501,2026-08-12,2026-08-12,826.69,826.69,826.69,,,2026-09-11 22:29:06
af7642954f9c47afb013,113,501,2026-08-13,2026-08-13,2856.89,2856.89,2856.89,,,2026-09-11 22:29:06
aa564adf82c24edcb591,102,501,2026-08-14,2026-08-14,4286.82,4286.82,4286.82,,,2026-09-11 22:29:06
404e7375fed84830b2a2,101,501,2026-08-15,2026-08-15,5305.38,5305.38,5305.38,,,2026-09-11 22:29:06
efa33afc199240ebb6cf,115,501,2026-08-16,2026-08-16,14.38,14.38,14.38,,,2026-09-11 22:29:06
cb20a851b2e748ec9d8f,101,501,2026-08-17,2026-08-17,1505.11,1505.11,1505.11,,,2026-09-11 22:29:06
74c10e7c76b240c684e8,110,501,2026-08-18,2026-08-18,6969.15,6969.15,6969.15,,,2026-09-11 22:29:06
8c233f6f5d4e4b3683af,117,501,2026-08-19,2026-08-19,4522.24,4522.24,4522.24,,,2026-09-11 22:29:06
d1ce4305eb244a459f02,116,501,2026-08-20,2026-08-20,7603.42,7603.42,7603.42,,,2026-09-11 22:29:06
148a877bf486406987b0,120,501,2026-08-21,2026-08-21,1029.35,1029.35,1029.35,,,2026-09-11 22:29:06
d3d49ad27d894775ac54,117,501,2026-08-22,2026-08-22,893.97,893.97,893.97,,,2026-09-11 22:29:06
ef48ec52cbe442289e48,116,501,2026-08-23,2026-08-23,2340.08,2340.08,2340.08,,,2026-09-11 22:29:06
afa3db134f1a404c8bd3,118,501,2026-08-24,2026-08-24,3728.45,3728.45,3728.45,,,2026-09-11 22:29:06
fbf293c6e3ca426398d7,102,501,2026-08-25,2026-08-25,5532.38,5532.38,5532.38,,,2026-09-11 22:29:06
de3d3c756b994ecd8610,120,501,2026-08-26,2026-08-26,4394.34,4394.34,4394.34,,,2026-09-11 22:29:06
147aff09c30842608d54,103,501,2026-08-27,2026-08-27,2570.98,2570.98,2570.98,,,2026-09-11 22:29:06
b181ec175d344e41b1b8,118,501,2026-08-28,2026-08-28,4508.39,4508.39,4508.39,,,2026-09-11 22:29:06
6c5122079d5348cd8f00,112,501,2026-08-29,2026-08-29,1128.75,1128.75,1128.75,,,2026-09-11 22:29:06
c1ef1ae3459f41a9b834,114,501,2026-08-30,2026-08-30,3452.82,3452.82,3452.82,,,2026-09-11 22:29:06
f0f9a20ef0fd4ca99c89,118,501,2026-08-31,2026-08-31,3006.88,3006.88,3006.88,,,2026-09-11 22:29:06
7d36465a01f849fb8a7a,116,501,2026-09-01,2026-09-01,3073.11,3073.11,3073.11,,,2026-09-11 22:29:06
cbca78cf34444b5fb79b,117,501,2026-09-02,2026-09-02,900.17,900.17,900.17,,,2026-09-11 22:29:06
6cfa344487da44a18ecf,109,501,2026-09-03,2026-09-03,18.28,18.28,18.28,,,2026-09-11 22:29:06
37892ef83fec4d7ca418,110,501,2026-09-04,2026-09-04,15.65,15.65,15.65,,,2026-09-11 22:29:06
3a4eeb685b5f4d7a87e0,112,501,2026-09-05,2026-09-05,857.55,857.55,857.55,,,2026-09-11 22:29:06
14db5a79b1744aecbf57,118,501,2026-09-06,2026-09-06,1368.76,1368.76,1368.76,,,2026-09-11 22:29:06
08e32ca8c2ab48b9bbb5,119,501,2026-09-07,2026-09-07,714.17,714.17,714.17,,,2026-09-11 22:29:06
09d44984ab6f4919a4b2,107,501,2026-09-08,2026-09-08,22.55,22.55,22.55,,,2026-09-11 22:29:06
6d387ed4ba6d429f8190,104,501,2026-09-09,2026-09-09,893.16,893.16,893.16,,,2026-09-11 22:29:06
9d506704b176474cb028,103,501,2026-08-11,2026-08-11,12.71,12.71,12.71,,,2026-09-11 22:29:06
dbd6ca7663d54f059655,101,501,2026-08-12,2026-08-12,5753.3,5753.3,5753.3,,,2026-09-11 22:29:06
bdd1817b024a4044b391,105,501,2026-08-13,2026-08-13,811.21,811.21,811.21,,,2026-09-11 22:29:06
f53f4c564d61464bae61,103,501,2026-08-14,2026-08-14,5950.14,5950.14,5950.14,,,2026-09-11 22:29:06
680960cd896c43ffb89a,118,501,2026-08-15,2026-08-15,580.79,580.79,580.79,,,2026-09-11 22:29:06
f1e72ab514044b36b3ff,105,501,2026-08-16,2026-08-16,4587.37,4587.37,4587.37,,,2026-09-11 22:29:06
5df6c0fb18f14f0d88b4,107,501,2026-08-17,2026-08-17,258.41,258.41,258.41,,,2026-09-11 22:29:06
cf9224224ba2496dadd0,101,501,2026-08-18,2026-08-18,1276.85,1276.85,1276.85,,,2026-09-11 22:29:06
1fe551fc895a4278a90b,110,501,2026-08-19,2026-08-19,784.06,784.06,784.06,,,2026-09-11 22:29:06
5569ae01e9a3476298ce,105,501,2026-08-20,2026-08-20,1218.25,1218.25,1218.25,,,2026-09-11 22:29:06
a6e2ba2c2042497faa1e,114,501,2026-08-21,2026-08-21,977.06,977.06,977.06,,,2026-09-11 22:29:06
0c07d78ba4054bb2a604,101,501,2026-08-22,2026-08-22,330.12,330.12,330.12,,,2026-09-11 22:29:06
ff997461f15d4c189fa3,104,501,2026-08-23,2026-08-23,3930.48,3930.48,3930.48,,,2026-09-11 22:29:06
852a234caff34c5294d2,120,501,2026-08-24,2026-08-24,4207.64,4207.64,4207.64,,,2026-09-11 22:29:06
c851c08e852b425cb6c3,117,501,2026-08-25,2026-08-25,3530.78,3530.78,3530.78,,,2026-09-11 22:29:06
c4d0a1f3e78d45119943,111,501,2026-08-26,2026-08-26,3629.1,3629.1,3629.1,,,2026-09-11 22:29:06
46bd5d50a53a4b8a851e,108,501,2026-08-27,2026-08-27,623.62,623.62,623.62,,,2026-09-11 22:29:06
24990f0e4774423dbfd2,114,501,2026-08-28,2026-08-28,2435.23,2435.23,2435.23,,,2026-09-11 22:29:06
18e0d8fd951941678112,107,501,2026-08-29,2026-08-29,183.83,183.83,183.83,,,2026-09-11 22:29:06
1da6a0b0512447a2b8a4,108,501,2026-08-30,2026-08-30,2820.93,2820.93,2820.93,,,2026-09-11 22:29:06
f9c1e4e7c031440d98e3,120,501,2026-08-31,2026-08-31,381.5,381.5,381.5,,,2026-09-11 22:29:06
72fe3bb3a4024e7cb0e1,105,501,2026-09-01,2026-09-01,1409.33,1409.33,1409.33,,,2026-09-11 22:29:06
b448e654159b4f8994c2,104,501,2026-09-02,2026-09-02,1903.61,1903.61,1903.61,,,2026-09-11 22:29:06
ccd971efdb2142329712,118,501,2026-09-03,2026-09-03,1349.32,1349.32,1349.32,,,2026-09-11 22:29:06
1fd15c38a5114fc5b154,103,501,2026-09-04,2026-09-04,242.18,242.18,242.18,,,2026-09-11 22:29:06
1b0037a3e06441baacb5,117,501,2026-09-05,2026-09-05,4904.31,4904.31,4904.31,,,2026-09-11 22:29:06
08357b42a894405381d2,102,501,2026-09-06,2026-09-06,2441.1,2441.1,2441.1,,,2026-09-11 22:29:06
7950fdddbae04d85a524,101,501,2026-09-07,2026-09-07,4626.73,4626.73,4626.73,,,2026-09-11 22:29:06
