sale_unique_id,item_nbr,item_vendor,item_department,store_nbr,sales_date,sequence_nbr,item_category,sales_qty
100101001-1,100101,501,27,111,2026-08-11,1,,19
100101002-2,100101,501,16,120,2026-08-12,2,,24
100101003-3,100101,501,14,113,2026-08-13,3,,92
100101004-4,100101,501,25,102,2026-08-14,4,,61
100101005-5,100101,501,20,101,2026-08-15,5,,78
100101006-6,100101,501,28,115,2026-08-16,6,,1
100101007-7,100101,501,26,101,2026-08-17,7,,55
100101008-8,100101,501,23,110,2026-08-18,8,,100
100101009-9,100101,501,28,117,2026-08-19,9,,84
100101010-10,100101,501,24,116,2026-08-20,10,,94
100101011-11,100101,501,21,120,2026-08-21,11,,67
100101012-12,100101,501,20,117,2026-08-22,12,,20
100101013-13,100101,501,26,116,2026-08-23,13,,28
100101014-14,100101,501,27,118,2026-08-24,14,,56
100101015-15,100101,501,26,102,2026-08-25,15,,87
100101016-16,100101,501,12,120,2026-08-26,16,,64
100101017-17,100101,501,20,103,2026-08-27,17,,43
100101018-18,100101,501,16,118,2026-08-28,18,,54
100101019-19,100101,501,28,112,2026-08-29,19,,38
100101020-20,100101,501,10,114,2026-08-30,20,,43
100101021-21,100101,501,29,118,2026-08-31,21,,73
100101022-22,100101,501,18,116,2026-09-01,22,,82
100101023-23,100101,501,23,117,2026-09-02,23,,70
100101024-24,100101,501,25,109,2026-09-03,24,,5
100101025-25,100101,501,27,110,2026-09-04,25,,5
100101026-26,100101,501,22,112,2026-09-05,26,,34
100101027-27,100101,501,16,118,2026-09-06,27,,85
100101028-28,100101,501,18,119,2026-09-07,28,,9
100101029-29,100101,501,29,107,2026-09-08,29,,14
100101030-30,100101,501,12,104,2026-09-09,30,,16
100102001-1,100102,501,26,103,2026-08-11,1,,3
100102002-2,100102,501,12,101,2026-08-12,2,,69
100102003-3,100102,501,27,105,2026-08-13,3,,35
100102004-4,100102,501,18,103,2026-08-14,4,,93
100102005-5,100102,501,13,118,2026-08-15,5,,8
100102006-6,100102,501,10,105,2026-08-16,6,,55
100102007-7,100102,501,11,107,2026-08-17,7,,11
100102008-8,100102,501,17,101,2026-08-18,8,,15
100102009-9,100102,501,24,110,2026-08-19,9,,27
100102010-10,100102,501,18,105,2026-08-20,10,,27
100102011-11,100102,501,12,114,2026-08-21,11,,38
100102012-12,100102,501,16,101,2026-08-22,12,,10
100102013-13,100102,501,17,104,2026-08-23,13,,96
100102014-14,100102,501,20,120,2026-08-24,14,,71
100102015-15,100102,501,27,117,2026-08-25,15,,62
100102016-16,100102,501,11,111,2026-08-26,16,,96
100102017-17,100102,501,28,108,2026-08-27,17,,16
100102018-18,100102,501,10,114,2026-08-28,18,,44
100102019-19,100102,501,19,107,2026-08-29,19,,94
100102020-20,100102,501,19,108,2026-08-30,20,,100
100102021-21,100102,501,28,120,2026-08-31,21,,29
100102022-22,100102,501,25,105,2026-09-01,22,,57
100102023-23,100102,501,17,104,2026-09-02,23,,25
100102024-24,100102,501,26,118,2026-09-03,24,,40
100102025-25,100102,501,15,103,2026-09-04,25,,24
100102026-26,100102,501,19,117,2026-09-05,26,,93
100102027-27,100102,501,26,102,2026-09-06,27,,63
100102028-28,100102,501,15,101,2026-09-07,28,,72
100102029-29,100102,501,25,102,2026-09-08,29,,27
100102030-30,100102,501,10,106,2026-09-09,30,,11
100103001-1,100103,501,10,109,2026-08-11,1,,30
100103002-2,100103,501,21,118,2026-08-12,2,,36
100103003-3,100103,501,17,111,2026-08-13,3,,73
100103004-4,100103,501,14,114,2026-08-14,4,,29
100103005-5,100103,501,14,117,2026-08-15,5,,14
100103006-6,100103,501,29,114,2026-08-16,6,,32
100103007-7,100103,501,10,107,2026-08-17,7,,85
100103008-8,100103,501,19,112,2026-08-18,8,,13
100103009-9,100103,501,10,111,2026-08-19,9,,52
