Agreement_id,Vendor_id,Agreement_type,Vendor_Name,Agreement_start_date,Agreement_end_date,Agreement_status,agreement_division,Agreement_allowance_type,Agreement_allowance_percent,Bill_frequency,Store_alloc_frequency,Last_updated_timestamp,Last_change_userid
1001,501,SALE,Acme Supplies,2026-05-23,2027-04-30,2,20,SC,17.08,W,W,2026-09-11 22:29:05,MOCKLOAD
1002,502,RECV,Global Foods Inc,2025-09-18,2026-09-14,2,10,SC,6.62,Q,M,2026-09-11 22:29:05,MOCKLOAD
1003,503,SALE,Northwind Distributors,2026-06-04,2028-05-01,2,20,SC,8.67,M,Q,2026-09-11 22:29:05,MOCKLOAD
1004,504,SALE,Sunrise Beverages,2026-04-05,2027-03-13,3,30,SC,13.56,Q,Q,2026-09-11 22:29:05,MOCKLOAD
1005,505,SALE,Prime Produce Co,2025-10-24,2027-01-20,3,20,MK,9.32,M,M,2026-09-11 22:29:05,MOCKLOAD
1006,506,RECV,Coastal Seafood Ltd,2025-10-07,2027-02-21,3,30,OI,12.52,M,W,2026-09-11 22:29:05,MOCKLOAD
1007,507,SALE,Everest Dairy,2025-10-23,2027-05-18,3,10,MK,11.67,W,M,2026-09-11 22:29:05,MOCKLOAD
1008,508,RECV,Harvest Grains,2025-12-16,2027-02-09,3,30,BD,16.73,Q,M,2026-09-11 22:29:05,MOCKLOAD
1009,509,RECV,Bluebird Bakery,2025-11-01,2026-07-02,1,30,BD,22.64,W,Q,2026-09-11 22:29:05,MOCKLOAD
1010,510,RECV,Cascade Cleaning Co,2025-11-25,2026-05-26,1,20,MK,14.73,W,Q,2026-09-11 22:29:05,MOCKLOAD
